X,Y,OBJECTID,Record_Num,Date_Updated,AgencySiteService,PublicComments,AgencyName,ServiceName,ServiceName2,SiteName,AlternateName,FormerName,LegalName,OfficePhone,TollFreePhone,TTYPhone,AfterHoursPhone,TextPhone,CrisisPhone,Fax,EMail,Website,SocialMedia,PrimaryContact,PrimaryContactEmail,PrimaryContactFax,PrimaryContactName,PrimaryContactPhone,PrimaryContactTitle,AlternateContact,VolunteerCoordinator,EmailForm,ParentAgencyRecordNum,ParentAgencyName,DescriptionAgency,LegalStatus,Established,PrimaryExecutive,PrimaryExecutiveEmail,PrimaryExecutiveFax,PrimaryExecutiveName,PrimaryExecutivePhone,PrimaryExecutiveTitle,AlternateExecutive,Funding,Elections,DescriptionService,Hours,Dates,Meetings,AreasServed,Boundaries,Eligibility,Application,Languages,Fees,AdditionalServices,SiteLocation,LocatedInCommunity,SiteBuilding,SiteCity,SiteCountry,SitePostalCode,SiteProvince,SiteStreetName,SiteStreetDirection,SiteStreetNum,SiteStreetType,SiteAddressSuffix,Longitude,Geocoding,Latitude,Intersection,MailBoxType,MailBuilding,Mail_CO,MailCity,MailCountry,MailPOBox,MailPostal,MailProvince,MailStreetName,MailStreetDirection,MailStreetNum,MailStreetType,MailAddressSuffix,PhysicalAccess,Taxonomy,AdditionalServiceSites,AgencySites,AgencyServices,RecordOwnerAgency
591500.385,4833349.8867,20897,ACT0010,20240705,"Agency ; Site ; Service",,Willow Park Ecology Centre,Willow Park Ecology Centre,,Norval,,,,905-703-7147,,,,,,,willowparknorval@gmail.com,willowparkecology.org,"Facebook: https://www.facebook.com/willowparkecologycentre
Instagram: www.instagram.com/willowparkecology/","Tunde Otto, Executive Director",,,Tunde Otto,,Executive Director,"Jim Crawford, Chair, Willow Park Ecology Centre",,,,,<p>Ecology centre providing educational and nature-related programs that contribute to the stewardship and management of Willow Park.</p>,(50) Non Profit,1998,,,,,,,,"City / Town ; Fundraising ; Donations",AGM  April,"<p>Public 2.1 hectare (5 acre) nature park offering year-round education, school and community programs and themed events</p>
<ul>
<li>provides guided hands-on volunteer stewardship opportunities</li>",<p>Daily dawn to dusk</p>,,,"Halton Region ; Peel Region",,No restrictions,<p>No application required</p>,English,"Program - fees charged for some programs and events ; Donation ; None - for park admission",,,Halton Hills,,Norval,,L0P 1K0,ON,Guelph,,,St,,-79.865428,"Manual map placement
43.6475170, -79.8654280",43.647517,,,,,,,,,,,,,,,Partially Accessible - most trails are accessible,"Nature Centres/Walks ; Outdoor Environmental Education",,,,Information Halton Hills
587258.6767,4833159.2854,20898,ACT0198,20240217,"Agency ; Site ; Service",,Credit Valley Artisans,Credit Valley Artisans,,Cedarvale Park - Cedarvale Cottage,CVA,,,,,,,,,,admin@creditvalleyartisans.ca,www.creditvalleyartisans.ca,Instagram: https://www.instagram.com/artisanscreditvalley/,"Milly Tseng, President; Email: Pres@creditvalleyartisans.ca",Pres@creditvalleyartisans.ca,,Milly Tseng,,President,"Paulette Rood, Treasurer; Email: admin@creditvalleyartisans.ca",,,,,<p>Non-profit community group promoting visual arts in Halton Hills</p>,(50) Non Profit,1975,"Milly Tseng, President; Email: Pres@creditvalleyartisans.ca",Pres@creditvalleyartisans.ca,,Milly Tseng,,President,"Amy Sykes, Secretary; Email: Secretary@creditvalleyartisans.ca","Grants ; Fees ; Sale of Goods ; Courses",Last week in October,"<p>Non-profit community group of artists promoting visual arts in Halton Hills.&nbsp;<br>Four guilds currently work within the CVA. Contact Guild presidents for more details.</p>
<ul>
<li>Pottery and ","<ul>
<li>meetings vary by guild</li>
<li>email <a href=""mailto:admin@creditvalleyartisans.ca"">admin@creditvalleyartisans.ca</a> or contact individual guild presidents for information</li>
</ul>",,,"Durham Region ; Halton Region ; Peel Region ; Wellington County ; York Region",,"Ages: 16 year(s) and up

No restrictions","<p>Membership form <a href=""https://www.creditvalleyartisans.ca/Registration.html"" target=""_blank"">available on website</a></p>",English,"Membership - Guild fees ; CVA Membership fee and a Guild membership fee * courses are offered to the public for a fee",,Cedarvale Park,Georgetown,Cedarvale Cottage,Georgetown,Canada,L7G 5S2,On,Main,S,183,St,,-79.918045,"Site Address data
43.6463110, -79.9180450",43.646311,Main St S and Maple Ave,,,Admin,Georgetown,,,L7G 5S2,ON,Main,S,183,St,,Partially Accessible - Pottery studio is not accessible,"Arts and Crafts Instruction ; Arts Associations",,,,Information Halton Hills
590734.1343,4831530.7047,20899,ACT0206,20240611,"Agency ; Site ; Service","<p><a href=""http://www.hipinfo.ca/record/OAK2712"">The Halton Child Care Directory and Information Line (CCDIL)</a> provides parents with free, personalized assistance in choosing child care. &nbsp;<br",Halton Hills Child Care Centre,Licensed Child Care Centre,,Georgetown,,,Halton Hills Day Care Centre Inc.,905-877-5004,,,,,,,director@hhchildcare.ca,www.hhchildcare.ca,"Facebook: https://www.facebook.com/people/Halton-Hills-Child-Care-Centre/100042064518649/
Instagram: https://www.instagram.com/hhchildcarecentre","Grace Lacchetta, Director; Email: director@hhchildcare.ca",director@hhchildcare.ca,,Grace Lacchetta,,Director,"Liz Willis; Email: info@hhchildcare.ca",,,,,<p>Provides supervised care for children in a licensed facility.</p>,(50) Non Profit,1986,,,,,,,,"Regional / Municipal ; Fees",,"<p>Government licensed child care centre for children aged 18 months to 4 years</p>
<ul>
<li>Toddlers 1.5-2.5 years, preschool 2.5-4 years</li>
<li>full time, part time</li>
<li>full day programs</li>",<p>Mon-Fri 6:30 am-6:15 pm</p>,,,Halton Region,,"Ages: 1.5 year(s) - 4 year(s)

Licensed for under age (12-18 months) up to 3 children in the Toddler program",<p>Call for information</p>,English,"Program - variable rates * call for information ; Fee assistance available ; assistance is provided by Halton Region.",,,Georgetown,,Georgetown,,L7G 5X3,ON,Mountainview,S,371,Rd,Unit 8,-79.875233,"Site Address data
43.6312340, -79.8752330",43.631234,Mountainview Rd S and and Danby Rd,,,,,,,,,,,,,,Fully Accessible,"Child Care Centres ; Extended Child Care",,,,"The Halton Resource Connection, Child Care Directory and Information Line"
577289.2426,4830690.7159,20900,ACT0296,20240905,"Site ; Service",,Halton Community Housing Corporation,Affordable Housing,Acton - Braeside Residence,Acton - Braeside Residence,HCHC,,,3-1-1 from anywhere within The Regional Municipality of Halton or 905-825-6000,1-866-442-5866,905-827-9833,,,,905-849-3568,AccessHalton@halton.ca,https://www.halton.ca/For-Residents/Housing-Supports-and-Services/Halton-Community-Housing-Corporation/Our-Communities/Braeside,,"The Region of Halton, Halton Access to Community Housing (HATCH); Phone: 3-1-1 * 905-825-6000 * 1-866-442-5866; Email: AccessHalton@halton.ca",AccessHalton@halton.ca,,The Region of Halton,3-1-1 * 905-825-6000 * 1-866-442-5866,,,,,OAK1506,Halton Community Housing Corporation,,,,,,,,,,,"Regional / Municipal ; Fees",,"<p>Twelve 1-bedroom apartments</p>
<ul>
<li>rent geared to income</li>
</ul>",<p>Mon-Fri 8:30 am-4:30 pm</p>,,,Halton Region,,Must be a legal resident of Canada * further occupancy and eligibility rules available via HATCH,"<p>Must be completed and returned to the Halton Access to Community Housing</p>
<ul>
<li><a href=""https://www.halton.ca/Repository/HATCH-Application-Form"" target=""_blank"">forms are available online</a>, by calling or pick up at the Region</li>
<li>applicants are selected from the Halton Access to Community Housing (HATCH) rent-geared-to-income (RGI) waiting list</li>
</ul>",English,"Service - Rent is geared to income ; Fee assistance available ; assistance is provided by Halton Region.",,,Acton,Braeside Residence,Acton,,L7J 1Z3,ON,Holmesway,,46,Place,,-80.041995,"Site Address data
43.6251900, -80.0419950",43.62519,Main St S and Cobblehill Dr,,,Halton Community Housing Corporation,Oakville,Canada,,L6M 3L1,ON,Bronte,,1151,Rd,,"Partially Accessible - Some stairs, no elevator",Low Income/Subsidized Rental Housing,,,,Information Halton Hills
576926.6983,4831429.4191,20901,ACT0340,20240905,"Site ; Service",,Halton Community Housing Corporation,Affordable / Supportive Housing,,Acton - Lakeview Villa,HCHC,,,3-1-1 from anywhere within The Regional Municipality of Halton or 905-825-6000,1-866-442-5866,905-827-9833,,,,,accesshalton@halton.ca,https://www.halton.ca/For-Residents/Housing-Supports-and-Services/Halton-Community-Housing-Corporation/Our-Communities/Lakeview-Villa,,"The Regional Municipality of Halton, Halton Access to Community Housing (HATCH); Phone: 905-825-6000; Email: accesshalton@halton.ca",accesshalton@halton.ca,,The Regional Municipality of Halton,905-825-6000,,,,,OAK1506,Halton Community Housing Corporation,,,,,,,,,,,"Regional / Municipal ; Fees",,"<p>Independent living apartments for seniors (65 years +) with <a href=""https://halton.cioc.ca/record/MHH0333"">supportive care available</a></p>
<ul>
<li>3 storey building with elevator</li>
<li>52 in",<p>Office Mon-Fri 8:30 am-4:30 pm</p>,<p>Office closed between Christmas Eve and New Years Day * closed statutory and civic holidays</p>,,Halton Region,,"Ages: 65 year(s) and up

must be a legal resident of Canada * further occupancy and eligibility rules available via HATCH","<p>Must be completed and returned to the Halton Access to Community Housing</p>
<ul>
<li><a href=""https://www.halton.ca/Repository/HATCH-Application-Form"">forms are available online</a>, by calling or pick up at the Region</li>
<li>applicants are selected from the Halton Access to Community Housing (HATCH) rent-geared-to-income (RGI) waiting list</li>
</ul>",English,"Service - rent geared to income ; Fee assistance available ; assistance is provided by Halton Region.",,,Acton,Lakeview Villa,Acton,,L7J 2V5,ON,Elizabeth,,17,Dr,,-80.046383,"Site Address data
43.6318780, -80.0463830",43.631878,Main St N and Guelph St,,,Halton Community Housing Corporation,Oakville,Canada,,L6M 3L1,ON,Bronte,,1151,Rd,,Fully Accessible,Low Income/Subsidized Rental Housing ~ Older Adults,,,,Information Halton Hills
590943.0179,4820570.1618,20902,ACT0380,20240123,Service,,Adult Learning Centre,Literacy and Basic Skills,,,4752A,,,Head Office 905-873-2200,,,,,,,info@alnh.ca,www.alnh.ca,"Facebook: https://www.facebook.com/adultlearningnh
Instagram: https://www.instagram.com/adultlearningnh
LinkedIn: https://www.linkedin.com/company/adultlearningnh
X (Twitter): https://twitter.com/Adul","Alyson Findlay, Senior Program Coordinator; Email: coordinator@alnh.ca",coordinator@alnh.ca,,Alyson Findlay,,Senior Program Coordinator,,,,OAK4379,Adult Learning Centre,,,,,,,,,,,"Provincial - Ministry of Labour, Immigration, Training and Skills Development",,"<p>Literacy and basic skills training, including numeracy, digital literacy, communication and interpersonal skills</p>
<ul>
<li>helps learners prepare for employment, apprenticeship, secondary school","<ul>
<li>Georgetown head office Mon, Tue, Thu 9 am-4 pm, Wed 1 pm-9 pm</li>
<li>By appointment at satellite locations</li>
</ul>",,,Halton Region,,"Ages: 19 year(s) and up

Ontario residents 19 years and older with reading, writing and math skills below Grade 12 of the Ontario curriculum
<ul><li>ESL learners must demonstrate language proficiency at a minimum of Canadian Language Benchmark level 6
<li>Adult Tutoring Program serves learners up to grade 9 level
<li>Sheridan ACE & GED Test Prep Program serves learners at high school equivalency level
<li>Computer Skills for Work program serves learners who require basic computer knowledge for the workplace or further training
<li>all participants must complete a free assessment to determine suitability/eligibility</ul>",<p>Call or visit the website to arrange attendance at an information session * continuous intake</p>,English,"None ; tuition is free * small resource/materials fee, no one is refused service",,Service offered at multiple sites across Halton Region,Halton Region,,Halton Region,,,ON,,,,,,-79.874484,"Site Address data
43.5325370, -79.8744840",43.532537,,Box,,Michele Proud,Georgetown,,218,L7G 4Y5,ON,,,,,,,"Adult Basic Education ; Adult Literacy Programs",Acton - Halton Hills Public Library * Burlington - Centre for Skills Development * Georgetown - Head Office * Milton - Centre for Skills Development * Oakville - Centre for Skills Development,,,Information Oakville
588701.5883,4833207.9082,20903,ACT0494,20240703,"Site ; Service",,Halton Community Housing Corporation,Affordable Housing,Georgetown - Sargent Court Seniors Residence,Georgetown - Sargent Court Seniors Residence,"HCHC ; Sargent Court Seniors Apartments ; Sargent Court; 11 Sargent Rd ; Sargent Road Senior Apartments",,,3-1-1 within The Regional Municipality of Halton or 905-825-6000,1-866-442-5866,905-827-9833,,,,,accesshalton@halton.ca,https://www.halton.ca/For-Residents/Housing-Supports-and-Services/Halton-Community-Housing-Corporation/Our-Communities/Sargent-Court,,"The Region of Halton, Halton Access to Community Housing (HATCH); Phone: 3-1-1 * 905-825-6000 * 1-866-442-5866; Email: accesshalton@halton.ca",accesshalton@halton.ca,,The Region of Halton,3-1-1 * 905-825-6000 * 1-866-442-5866,,,,,OAK1506,Halton Community Housing Corporation,,,,,,,,,,,"Regional / Municipal ; Fees",,<p>Independent seniors apartment building consisting of 38 one-bedroom units</p>,<p>Mon-Fri 8:30 am-4:30 pm</p>,,,Halton Region,,Ages: 65 year(s) and up,"<p>Must be completed and returned to the Halton Access to Community Housing</p>
<ul>
<li><a href=""https://www.halton.ca/Repository/HATCH-Application-Form"" target=""_blank"">forms are available online</a>, by calling or pick up at the Region</li>
<li>applicants are selected from the Halton Access to Community Housing (HATCH) rent-geared-to-income (RGI) waiting list</li>
</ul>",English,"Service - Rent is geared to income ; Fee assistance available ; assistance is provided by Halton Region.",,,Georgetown,,Georgetown,,L7G 1K8,ON,Sargent,,11,Rd,,-79.900149,"Site Address data
43.6465780, -79.9001490",43.646578,Mountainview Rd S and Sargent Rd,,,Halton Community Housing Corporation,Oakville,Canada,,L6M 3L1,ON,Bronte,,1151,Rd,,Partially Accessible - Entrance to building is accessible,Low Income/Subsidized Rental Housing ~ Older Adults,,,,Information Halton Hills
586986.4328,4833203.1736,20904,ACT0587,20240131,"Agency ; Site ; Service",,Holcro Non-Profit Housing Corporation,Cote Terrace Seniors Apartments,,Georgetown,,,,905-578-3833,,,,,,,hatch@halton.ca,www.coteterrace.com,,"Dina Guise, Property Manager, Stoney Creek Community Homes",,,Dina Guise,,Property Manager,"Jackie Rickards, Property Manager, Stoney Creek Community Homes",,,,,<p>Non-profit seniors' apartments</p>,(50) Non Profit,,"David Hall, Executive Director, Stoney Creek Community Homes Inc.",,,David Hall,,Executive Director,,"Regional / Municipal ; Fees ; Advanced Funding Program of Ontario",,"<p>A non-denominational, independent living building, for seniors of various incomes who are able to take care of themselves</p>
<ul>
<li>76 apartments and four barrier-free apartments</li>
<li>suppor",<p>Hamilton office Mon-Fri 9 am-4:30 pm</p>,,,Halton Region,,"Ages: 65 year(s) and up

Must be self-sufficient","<ul>
<li>If interested in rent geared to income housing, inquire by dialing 311 and ask for HATCH information or visit <a href=""https://www.halton.ca/For-Residents/Housing-Supports-and-Services/Assisted-Housing"" target=""_blank"">www.halton.ca/hatch</a> or email&nbsp;<a href=""mailto:hatch@halton.ca"" target=""_self"">hatch@halton.ca</a></li>
<li>If interested in affordable market rent housing , apply directly to home</li>
</ul>",English,"Service - Market rent and geared to income. Parking is extra. All utilities included. ; Fee assistance available ; assistance is provided by Halton Region rent subsidy.",,,Georgetown,,Georgetown,,L7G 5M5,ON,Main,S,171,St,,-79.921413,"Site Address data
43.6467380, -79.9214130",43.646738,Main St and Maple Ave,,,Stoney Creek Community Homes Inc.,Hamilton,,,L8H 2L4,ON,Melvin,,425,Ave,,Fully Accessible,"Low Income/Subsidized Rental Housing ~ Older Adults ; Market Rate Rental Housing ~ Older Adults",,,,Information Halton Hills
587377.677,4834442.6002,20905,ACT0610,20240131,"Agency ; Site ; Service",,Glen Mills Cooperative Homes,Glen Mills Cooperative Homes,,Georgetown,Glen Mills Coop,,,905-877-8037,,,,,,905-877-3110,glenmills@bellnet.ca,co-ophousingpeel-halton.coop/contact/find-a-co-op/,,,,,,,,,,,,,<p>Offers cooperative housing.</p>,(50) Non Profit,,"Victoria Colby, Manager",,,Victoria Colby,,Manager,,"Federal ; Fees",,"<p>Cooperative housing located in 27 townhouses, one which is barrier-free</p>
<ul>
<li>each town house has 3 bedrooms suitable for families</li>
<li>located close to Georgetown Go Station</li>
</ul>",<p>By appointment only</p>,,,Halton Region,,Call for information,"<ul>
<li>Not currently accepting applications</li>
<li>Applications are only taken directly at time of a posted vacancy</li>
<li>Local co-ops with vacancies are posted on <a href=""http://co-ophousingpeel-halton.coop/contact/find-a-co-op/"" target=""_blank"">PHCHF website</a></li>
</ul>",English,"Program - rent; a small application fee",,,Georgetown,,Georgetown,,L7G 5C3,ON,Daniela,,23,Court,,-79.916362,"Site Address data
43.6578500, -79.9163620",43.65785,River Dr and Mountainview Rd N,,,,,,,,,,,,,,Partially Accessible - 1 modified unit * office is accessible,Market Rate Rental Housing,,,,Information Halton Hills
587310.4128,4833762.9066,20906,ACT0640,20240703,"Site ; Service",,Halton Community Housing Corporation,Affordable Housing,Georgetown - John Armstrong Seniors Residence,Georgetown - John Armstrong Seniors Residence,"8 Durham Street; John Armstrong Terrace",,,3-1-1 from anywhere within The Regional Municipality of Halton or 905-825-6000,1-866-442-5866,905-827-9833,,,,,accesshalton@halton.ca,https://www.halton.ca/For-Residents/Housing-Supports-and-Services/Halton-Community-Housing-Corporation/Our-Communities/Armstrong-Terrace,,"The Regional Municipality of Halton, Halton Access to Community Housing (HATCH); Phone: 3-1-1 * 905-825-6000 * 1-866-442-5866; Email: accesshalton@halton.ca",accesshalton@halton.ca,,The Regional Municipality of Halton,3-1-1 * 905-825-6000 * 1-866-442-5866,,,,,OAK1506,Halton Community Housing Corporation,,,,,,,,,,,"Regional / Municipal ; Fees",,"<p>Seniors' apartment building consisting of 89 apartments</p>
<ul>
<li>88 are one bedroom&nbsp;</li>
<li>1 is a two bedroom</li>
</ul>
<p>Supportive housing services provided by Halton Healthcare</p>",<p>Mon-Fri 8:30 am-4:30 pm</p>,,,Halton Region,,Ages: 65 year(s) and up,"<p>Must be completed and returned to the Halton Access to Community Housing</p>
<ul>
<li><a href=""https://www.halton.ca/Repository/HATCH-Application-Form"" target=""_blank"">forms are available online</a>, by calling or pick up at the Region</li>
<li>applicants are selected from the Halton Access to Community Housing (HATCH) rent-geared-to-income (RGI) waiting list</li>
</ul>",English,"Service - Rent is geared to income ; Fee assistance available ; assistance is provided by Halton Region.",,,Georgetown,,Georgetown,,L7G 4X9,ON,Durham,,8,St,,-79.917306,"Site Address data
43.6517390, -79.9173060",43.651739,Guelph St and Durham St,,,Halton Community Housing Corporation,Oakville,Canada,,L6M 3L1,ON,Bronte,,1151,Rd,,Fully Accessible,Low Income/Subsidized Rental Housing ~ Older Adults,,,,Information Halton Hills
